@id,@lat,@lon,name,admin_id
721205783,-34.5787942,-58.6286964,Escuela Primaria 70,ARG.1.122_1_gadm36
726835952,-36.2816170,-62.5494236,Escuela De EducaciÃ³n Primaria NÂº 17 Jose Manuel Estrada,ARG.1.120_1_gadm36
726964573,-34.6968599,-58.5779279,Escuela TÃ©cnica Industrial N 1,ARG.1.62_1_gadm36
726964583,-34.6978238,-58.5945718,Instituto Del Libertador,ARG.1.62_1_gadm36
762936184,-34.5079925,-58.4907889,"Escuela NÂº2 ""BartolomÃ© Mitre""",ARG.1.125_1_gadm36
762936187,-34.5176288,-58.4994792,AsunciÃ³n de la Virgen,ARG.1.125_1_gadm36
763213547,-34.7112638,-58.2856355,Escuela NÂ° 18,ARG.1.95_1_gadm36
763213553,-34.7124545,-58.2823418,Escuela NÂº6 HipÃ³lito Yrigoyen,ARG.1.95_1_gadm36
809093674,-27.2084208,-54.9763412,Instituto Nuestra SeÃ±ora De Lourdes 0204,ARG.14.2_1_gadm36
833400397,-40.8026294,-62.9841781,Escuela NÂ° 2,ARG.1.87_1_gadm36
845143248,-36.3046778,-57.6842397,Escuela NÂº7,ARG.1.35_1_gadm36
845220984,-34.7146749,-58.3758349,Escuela Santo Cristo,ARG.1.64_1_gadm36
846254161,-31.4316300,-64.1559950,IPEM 150 Juan Larrea,ARG.6.2_1_gadm36
846506800,-36.3148025,-57.6847808,Escuela TÃ©cnica,ARG.1.35_1_gadm36
846904793,-34.8081437,-58.3972844,Estab.Educativo Argentino,ARG.1.4_1_gadm36
848302461,-38.7158122,-62.2637590,Juan Jose Passo,ARG.1.10_1_gadm36
849193501,-31.6584662,-64.4018384,,ARG.6.21_1_gadm36
861212366,-34.2918686,-60.2551727,Escuela De EducaciÃ³n Primaria 2 Marcelino Ugarte,ARG.1.104_1_gadm36
865106633,-34.6874550,-58.3760904,Escuela NÂº40 Republica del Portugal,ARG.1.7_1_gadm36
871916305,-37.3292472,-59.1357130,Escuela N* 1,ARG.1.115_1_gadm36
874673857,-31.5249716,-64.2858260,ESCUELA CATALINA B. DE BARON,ARG.6.2_1_gadm36
883054148,-38.7355787,-62.2345700,Secundaria San Francisco de AsÃ­s,ARG.1.10_1_gadm36
883054150,-38.7352663,-62.2350586,Primaria San Francisco de AsÃ­s,ARG.1.10_1_gadm36
888749081,-36.3105399,-57.6763184,Escuela 10,ARG.1.35_1_gadm36
893021537,-36.2651258,-57.6855787,Escuela Agraria,ARG.1.35_1_gadm36
896357434,-40.6490257,-62.7540800,Escuela Primaria BÃ¡sica NÂº 30 JosÃ© Manuel Estrada,ARG.1.87_1_gadm36
909703718,-34.6623205,-58.3646552,CENS 451 Avellaneda,ARG.1.7_1_gadm36
912612705,-34.6299416,-58.4867225,Escuela Primaria ComÃºn 23 RepÃºblica de Portugal,ARG.5.1_1_gadm36
919134509,-35.1688120,-59.9143213,NÂ° 48,ARG.1.124_1_gadm36
919134638,-35.0785288,-59.8302761,NÂ° 31,ARG.1.28_1_gadm36
928593256,-27.4799264,-55.1247050,Colegio Emanuel,ARG.14.13_1_gadm36
928593261,-27.4814804,-55.1223674,Escuela 305,ARG.14.13_1_gadm36
937722467,-31.1378731,-64.2882879,La Reconquista,ARG.6.3_1_gadm36
937722469,-31.1361558,-64.2981584,Jordan Maldonado,ARG.6.3_1_gadm36
937722473,-31.1378456,-64.2947547,instituto secundario salsipuedes,ARG.6.3_1_gadm36
