id,admin_id,lat,lon,name,provider,is_private,provider_is_private,geo_checked
683160,COL.29.14_1_gadm36,3.4765557,-74.8679458,Inst. Edu. Tec La Arada - Alpujarra,OSM,f,f,t
683157,COL.18.5_1_gadm36,11.5537378,-72.3195334,UDS granito de amor,OSM,f,f,t
683151,COL.18.8_1_gadm36,11.7021163,-72.2593148,Hogar infantil pesuapa,OSM,f,f,t
682347,COL.30.32_1_gadm36,3.4203696,-76.5200747,Agustin Nieto Caballero,OSM,f,f,t
682349,COL.30.32_1_gadm36,3.4316131,-76.5144824,Ciudad de Cali,OSM,f,f,t
682350,COL.30.32_1_gadm36,3.4331907,-76.5117963,Eva Riascos Plata,OSM,f,f,t
683128,COL.2.68_1_gadm36,6.2075146,-75.5673283,,OSM,f,f,t
683127,COL.18.6_1_gadm36,11.2202865,-73.3961758,CDI mundo de los niños / mingueo,OSM,f,f,t
683864,COL.18.4_1_gadm36,11.3944765,-72.4721496,Centro educativo indijena numero 2 la playa,OSM,f,f,t
683862,COL.18.4_1_gadm36,11.3430813,-72.4358309,Centro educativo indijena numero 10 sede olonokiou,OSM,f,f,t
683861,COL.18.5_1_gadm36,11.4872497,-72.4994762,Centro educativo numero 2 jaturruichon,OSM,f,f,t
683803,COL.18.7_1_gadm36,10.771452,-72.9954785,Institucion educativa maria emma mendoza,OSM,f,f,t
683800,COL.18.7_1_gadm36,10.773253,-73.0037929,Institucion educativa maria auxiliadora,OSM,f,f,t
683802,COL.18.7_1_gadm36,10.7623276,-73.0035861,Institucion educativa jose eduardo guerra,OSM,f,f,t
683801,COL.18.7_1_gadm36,10.7711775,-73.0021252,Institucion educativa sede maria inmaculada,OSM,f,f,t
683779,COL.18.4_1_gadm36,11.3700734,-72.2322971,Institucion educativa numero 9 sede gabriel garcia marquez,OSM,f,f,t
683790,COL.18.6_1_gadm36,11.5169002,-72.8999528,Institucion educativa divina pastora sede madre veronica,OSM,f,f,t
683798,COL.18.7_1_gadm36,10.7767859,-73.0039511,Institucion educativa normal superior,OSM,f,f,t
683796,COL.18.7_1_gadm36,10.7775779,-73.0049683,Sede institucion educativa normal superior,OSM,f,f,t
682450,COL.2.88_1_gadm36,6.9887815,-75.6357752,El Peñol,OSM,f,f,t
683795,COL.18.7_1_gadm36,10.7776892,-72.9986618,Institucion educativa el carmelo,OSM,f,f,t
683794,COL.18.1_1_gadm36,10.9492567,-72.7954275,,OSM,f,f,t
683793,COL.18.1_1_gadm36,10.9492245,-72.7953748,Casa de Deyanira,OSM,f,f,t
683792,COL.18.1_1_gadm36,10.9493229,-72.7953127,,OSM,f,f,t
683789,COL.18.6_1_gadm36,11.510583,-72.9122219,Institucion educativa dencil escolar sede dividivi,OSM,f,f,t
682449,COL.2.88_1_gadm36,7.0055131,-75.6625029,El Bujío,OSM,f,f,t
683769,COL.18.1_1_gadm36,10.8850469,-72.8524273,Sede Educativa Tomas Emilio Medina Curiel,OSM,f,f,t
683788,COL.18.5_1_gadm36,11.5265139,-72.8931848,Institucion educativa denzil escolar sede tawaira,OSM,f,f,t
683354,COL.18.5_1_gadm36,11.5476092,-72.9025271,centro educativo del caribe,OSM,f,f,t
683696,COL.18.6_1_gadm36,11.4369241,-73.0744991,Sede Etnoeducativa Tocoromana,OSM,f,f,t
683787,COL.18.6_1_gadm36,11.5178218,-72.8981365,Institucion educativa denzil escolar sede brisas del mar,OSM,f,f,t
683786,COL.18.1_1_gadm36,10.9192879,-72.8175803,Escuela guamachal,OSM,f,f,t
683784,COL.18.4_1_gadm36,11.3774181,-72.234737,Instituto educativo numero 15 sede loma frsca,OSM,f,f,t
683353,COL.18.5_1_gadm36,11.5477068,-72.904037,santa teresa de jesus,OSM,f,f,t
683782,COL.18.4_1_gadm36,11.3739967,-72.228236,Instituto educativo numero siete madre laura,OSM,f,f,t
683781,COL.18.4_1_gadm36,11.3716501,-72.2303926,Institucion educativa numero 9 sede manuel rosado iguaran,OSM,f,f,t
683780,COL.18.4_1_gadm36,11.3890992,-72.2263907,Institucion educativa numero 10 sede jose domingo boscan,OSM,f,f,t
683751,COL.18.1_1_gadm36,10.8460567,-72.7572789,Escuela Etnoeducativa de Quebrachal,OSM,f,f,t
683352,COL.18.5_1_gadm36,11.5373527,-72.9033933,LUIS EDUARDO CUELLAR,OSM,f,f,t
682448,COL.2.88_1_gadm36,6.9786945,-75.618403,San Miguel,OSM,f,f,t
