iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.604166667,-78.97916667,COL.21.60_1_gadm36,968.7948608,1736.090813,1736.090813,1020173,1020173,3
COL,2.229166667,-78.6875,COL.21.20_1_gadm36,336.452179,4580.018871,4580.018871,1010229,1010229,41
COL,2.104166667,-78.6875,COL.21.20_1_gadm36,519.2333374,1536.5513,6896.243805,1010233,1010231,42
COL,2.229166667,-78.64583333,COL.21.20_1_gadm36,1337.013672,6884.892518,6884.892518,1010229,1010229,48
COL,2.1875,-78.64583333,COL.21.20_1_gadm36,1380.800903,3372.832972,3372.832972,1010237,1010237,50
COL,2.145833333,-78.64583333,COL.21.20_1_gadm36,1078.023438,699.4412571,699.4412571,1010235,1010235,52
COL,2.020833333,-78.64583333,COL.21.20_1_gadm36,722.9137573,2473.00534,2473.00534,1010227,1010227,53
COL,2.229166667,-78.60416667,COL.21.20_1_gadm36,1446.814087,5341.781967,5341.781967,1010234,1010234,60
COL,2.3125,-78.60416667,COL.21.20_1_gadm36,1321.917236,8030.151429,11330.7797,540748,1010228,61
COL,2.1875,-78.60416667,COL.21.20_1_gadm36,1330.859375,2906.345073,2906.345073,1010234,1010234,64
COL,2.0625,-78.60416667,COL.21.20_1_gadm36,758.4856567,6526.415633,6526.415633,1010227,1010227,67
COL,2.020833333,-78.60416667,COL.21.20_1_gadm36,758.1878052,6341.593139,6341.593139,1010227,1010227,68
COL,2.270833333,-78.5625,COL.21.20_1_gadm36,1385.511597,4787.592953,4787.592953,1010228,1010228,75
COL,2.229166667,-78.5625,COL.21.20_1_gadm36,1441.136475,2537.29703,2537.29703,1010239,1010239,76
COL,1.979166667,-78.5625,COL.21.20_1_gadm36,776.0706787,9072.759072,9072.759072,1020104,1020104,80
COL,1.9375,-78.5625,COL.21.20_1_gadm36,776.0900269,4933.38333,4993.721611,1020103,1020104,81
COL,2.145833333,-78.6875,COL.21.20_1_gadm36,716.7045898,4421.393685,4709.892015,1010233,1010235,40
