uuid,upstream,source,name,version,date_modifi,completenes,source_url,raw-source,type,services,physical_ad,phone,mobile,email,url,activities,beds,ancillary_s,tags,scope_of_se,nature_of_f,ownership,staff,defining_ho,notes,inpatient_s,raw_source,what3words,source2,note,family_prac,emergency_p,heliport,contact,servicios_d,fracturas_a,traslados_d,service,lon,lat
"6d7afae880e44dd898a17e11283e4422","openstreetmap¶n1356013570","OpenStreetMap","Nangarhar Nishtar Kidny Hospital","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1356013570","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","cotton.twit.huddled","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.4302697,34.4173452
"92435f4843c740c98c202055ac7efb80","OpenStreetMap¶w461340476","OpenStreetMap","Nargasi First AIED Houspital","2","2016-12-23 10:08:35+00:00","35.29%","http://www.openstreetmap.org/way/461340476","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","notifies.underhanded.haircut","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.8771523728204,33.82909575
"7e305be545af4d1e80d173d0ee7b47cd","OpenStreetMap¶w386898669","OpenStreetMap","Public Health Department","2","2016-02-18 05:35:25+00:00","29.41%","http://www.openstreetmap.org/way/386898669","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","weeps.mows.exulted","OpenStreetMap","null","null","null","null","null","null","null","null","null",65.6969959002019,31.61228805
"cc293d34dfcc43f390f48d700b68ae21","openstreetmap¶w26132528","OpenStreetMap","Rabia Balki Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/26132528","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","trombone.shorter.strapping","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.177234800143,34.51885115
"c1b3d3e9caa844e5a97c369bd3b1ff37","openstreetmap¶n1447844112","OpenStreetMap","Rdat Hospital","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1447844112","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","reverential.insiders.poetic","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.5678939,34.2570657
"a273b0489f9f4a3cada2c7a05951a7d7","openstreetmap¶w134726351","OpenStreetMap","Red Cross Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/134726351","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","hired.menswear.slap","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.4357779464121,34.43713035
"9b78cede2bfd4e85931fdfb7e138da65","OpenStreetMap¶n4628636911","OpenStreetMap","Safed Ab HF","2","2017-01-24 11:47:45+00:00","29.41%","http://www.openstreetmap.org/node/4628636911","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","nouns.pinup.untypical","OpenStreetMap","null","null","null","null","null","null","null","null","null",66.3340177,34.6600823
"42a0af54d39f452ab01eadf01c96070c","openstreetmap¶w121878839","OpenStreetMap","Sehat-Ama Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/121878839","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","machinery.effort.eventful","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.4379956507839,34.43771335
"cc784582621041b69a1a7a3710c8ec4d","openstreetmap¶n1513950686","OpenStreetMap","Shadal Health Clinic","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1513950686","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","polite.snugly.tattooing","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.6646664,34.0905971
"a383da17239c48b1837e55d3691bfe5e","OpenStreetMap¶w386824159","OpenStreetMap","Shahid Fazal Rahman Chamkani Houspital Shahr-e Naw","2","2016-12-21 11:30:14+00:00","35.29%","http://www.openstreetmap.org/way/386824159","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","replicates.custody.trilingual","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.8181911469221,33.8033343
"7dc7b2db343149a98649a810e993c1ee","openstreetmap¶n1129837820","OpenStreetMap","Shifa Khana-I-Dusad Bistar","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1129837820","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","trip.stud.compiler","OpenStreetMap","null","null","null","null","null","null","null","null","null",68.8643215,36.7097395
"1516c625d5ba42eb9a2c98eb170d601e","openstreetmap¶n1378433259","OpenStreetMap","Sultani Jami Hospital","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1378433259","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","cowboy.unsolvable.realms","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.3229101,34.4162796
"cbbc6452398f42798b82b3334143d851","openstreetmap¶n1405324878","OpenStreetMap","University Clenic","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1405324878","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","isolation.beehive.governable","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.364942,34.4773246
"71bc7b02cc4348a5a3fd2dcb4608c345","openstreetmap¶w200364383","OpenStreetMap","Wazir Akbar Khan","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/200364383","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","footballers.connects.loser","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.1856647316774,34.53955695
"c65f98e8f5844c898dbc2e895d42b698","OpenStreetMap¶w443615847","OpenStreetMap","شفاخانه, Shifa Khanah","2","2016-09-21 15:19:21+00:00","29.41%","http://www.openstreetmap.org/way/443615847","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","owls.parrots.confusingly","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.9224929,33.3423881
